+--------+-------+----------+
| run    | cmsls | prescidx |
| 176844 | 1     | 3        |
| 176844 | 62    | 4        |
| 176848 | 1     | 4        |
| 176850 | 1     | 4        |
| 176860 | 1     | 4        |
| 176868 | 1     | 4        |
| 176885 | 1     | 2        |
| 176886 | 1     | 2        |
| 176886 | 75    | 3        |
| 176886 | 379   | 4        |
| 176889 | 1     | 4        |
| 176927 | 1     | 0        |
| 176928 | 1     | 0        |
| 176928 | 8     | 2        |
| 176929 | 1     | 2        |
| 176929 | 172   | 3        |
| 176933 | 1     | 3        |
| 176933 | 82    | 4        |
| 176959 | 1     | 2        |
| 176982 | 1     | 0        |
| 176982 | 4     | 3        |
| 177053 | 1     | 0        |
| 177053 | 43    | 2        |
| 177053 | 265   | 3        |
| 177053 | 531   | 4        |
| 177074 | 1     | 0        |
| 177074 | 26    | 2        |
| 177074 | 201   | 3        |
| 177074 | 488   | 4        |
| 177088 | 1     | 0        |
| 177088 | 3     | 2        |
| 177095 | 1     | 0        |
| 177095 | 3     | 2        |
