Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  907212905,  6.88671, -1.58773, 0.3787, -6.68964, 1.63226843469, -2.1182987305, 2.90745073089,  -1,  3.31251, 1.44268, -0.0846531, -2.97877, 1.44516148916, -1.47067561449, -0.0586104643655,  1,  3.23085
GT,  140124,  907270060,  10.0774, -3.05291, 1.21659, -9.5259, 3.28638870133, -1.78588110547, 2.76237853188,  1,  4.18277, -0.451053, -1.33509, -3.93682, 1.40922465097, -1.75107655875, -1.89660154711,  -1,  3.13312
GT,  140124,  907287927,  12.8321, -2.42245, -3.48018, 12.1108, 4.24027320286, 1.77194370646, -2.17888004899,  1,  5.99143, -1.22075, 0.119892, 5.86357, 1.22662327312, 2.26840595232, 3.04369485232,  -1,  2.58505
GT,  140124,  907302365,  6.88085, -1.92518, 2.89454, 5.93719, 3.47630261111, 1.30482084084, 2.15771866735,  1,  5.83775, 0.358991, 2.38157, 5.31671, 2.40847466314, 1.53276001399, 1.42118555868,  1,  2.19594
GT,  140124,  907319645,  9.95433, 2.35557, 0.294671, -9.66654, 2.3739294478, -2.11201867559, 0.124448937715,  1,  3.915, -0.0791578, 1.59727, -3.57191, 1.59923025553, -1.54344354548, 1.62031399827,  -1,  2.88796
GT,  140124,  907322080,  10.3599, -3.47085, -0.699842, -9.73546, 3.54070311484, -1.73613535071, -2.94262626001,  1,  4.76975, -0.36055, 1.24016, -4.59035, 1.29150808286, -1.98051982708, 1.85372571037,  -1,  2.95041
GT,  140124,  907346813,  8.78427, -0.134752, 3.55441, -8.03121, 3.55696338885, -1.55335519375, 1.6086893942,  1,  5.13808, 0.900553, 0.638479, -5.01697, 1.10392533228, -2.21899120526, 0.616731064939,  -1,  2.32595
GT,  140124,  907357392,  19.0407, 1.15897, 3.93833, 18.5926, 4.1053202859, 2.21559867637, 1.28459587439,  1,  2.94204, 0.974076, -0.0554459, 2.77355, 0.975652756673, 1.7675152152, -0.0568601766656,  -1,  2.66527
GT,  140124,  907358699,  6.38853, 4.09676, -4.04204, -2.77138, 5.75513074215, -0.464648555912, -0.778674914821,  -1,  2.83787, 0.271189, -1.27374, -2.5192, 1.30228916195, -1.4139256658, -1.36102092138,  1,  3.13043
GT,  140124,  907396113,  19.62, 1.17136, 4.89871, 18.9622, 5.03680890184, 2.03601174588, 1.33608735684,  1,  4.34239, -1.32306, 2.32696, 3.4176, 2.67679483809, 1.06419572783, 2.08779147424,  1,  4.59445
GT,  140124,  907406871,  8.05474, -1.30128, -1.11414, 7.86976, 1.71307839225, 2.22952364258, -2.43351723047,  1,  29.7914, -5.10485, -0.18423, 29.35, 5.10817327578, 2.4490860406, -3.10551909998,  -1,  2.07253
GT,  140124,  907423196,  17.908, 1.48531, 6.77395, 16.5104, 6.93487883085, 1.60201911541, 1.35494440176,  -1,  3.72425, -0.802737, 0.495381, 3.60126, 0.943286290757, 2.04954334815, 2.58868359399,  1,  3.18856
GT,  140124,  907453274,  7.20068, 1.29861, -1.48063, 6.92531, 1.96942964561, 1.97021722094, -0.850797489031,  1,  3.239, -0.775688, -0.717255, 3.06004, 1.05647839939, 1.78518326938, -2.39531399415,  -1,  2.04343
